id,name
anthropic,Anthropic
openai,OpenAI
anysphere,Anysphere
bytedance,ByteDance
alibaba,Alibaba
replit,Replit
tencent,Tencent
baidu,Baidu
cognition,Cognition
vercel,Vercel
lovable,Lovable
github,GitHub
anything,Anything
builder-io,Builder.io
google,Google
wix,Wix
stackblitz,StackBlitz
metagpt,MetaGPT / Atoms
subframe,Subframe
flutterflow,FlutterFlow
figma,Figma
alloy,Alloy
magic-patterns,Magic Patterns
anima,Anima
kombai,Kombai
onlook,Onlook
tempo-labs,Tempo Labs
stagewise,stagewise
dosmos,Dosmos
retune,Retune contributors
tuna,Tuna contributors
onui,onUI contributors
design-canvas,Design Canvas
rivet,Rivet Design
high-agency,High Agency
lost-coast-labs,Lost Coast Labs
clearly,Clearly
newcompute,NewCompute
superdesign,Superdesign
nimbalyst,Nimbalyst
openpencil,OpenPencil
zseven-w,ZSeven-W contributors
reframe,Reframe contributors
opencoworkai,OpenCoworkAI
nexu-io,nexu-io
agentation,Agentation contributors
zh-lx,zh-lx contributors
puck,Puck contributors
roya,Roya / Figwright contributors
yctimlin,yctimlin contributors
het-patel,Het Patel / Monet contributors
miro,Miro
galileo-ai,Galileo AI
framer,Framer
relume,Relume
webflow,Webflow
canva,Canva
motiff,Motiff
talktofigma-maintainers,TalkToFigma maintainers
beijing-damaidi,Beijing Damaidi Information Technology
zixel,Zixel
gamma,Gamma
etlaq-sa,Etlaq (Saudi Arabia)
university-of-luxembourg,University of Luxembourg
iscas,Institute of Software Chinese Academy of Sciences
beijing-normal-university,Beijing Normal University
kaist,KAIST
westlake-university,Westlake University
zhejiang-university,Zhejiang University
arizona-state-university,Arizona State University
tldraw,tldraw
zarazhangrui,Zara Zhangrui contributors
parth-jadhav,Parth Jadhav contributors
framelink,Framelink
primo,Primo CMS
vrun-design,Vrun Design
uno-platform,Uno Platform
penpot,Penpot
antv,AntV
silex-labs,Silex Labs
southleft,Southleft
figma-relai,Figma Relai contributors
hopp,Hopp
motion,Motion
chordio,Chordio
fleck,Fleck Agent
paraflow,Paraflow
botlab-art,Botlab.art
mantis-cad,MANTIS Software
hostinger,Hostinger
ux-pilot,UX Pilot
ai-ui-designer,AI UI Designer
mastergo,MasterGo
modao,墨刀
jsdesign,即时设计
boardmix,boardmix
faisca,Faísca
gloria,Gloria
efecto,Efecto
synthesisui,SynthesisUI
adobe,Adobe
aihouse,Sunvega / AIHouse
bunyan,Bunyan
facade,Facade
adly,Adly Technologies Ltd
m2,Model Tool Labs Inc.
wonder,Wonder
inspector,Inspector
banani,Banani
dart,Dart
