slug,product,organization,product_form,evidence_depth,layer,basis
adalo-ai,Adalo AI,adalo,ai-app-site-builder,architecture,H1,commercial/company or open-core
adly,Adly,adly,standalone-design-agent,architecture,H1,commercial/company or open-core
adobe-firefly-creative-agent,Adobe Firefly Creative Agent,adobe,established-visual-platform,architecture,H1,commercial/company or open-core
affine,AFFiNE,toeverything,established-visual-platform,source,H1,override:Toeverything 公司运营的成熟平台，含托管云服务与官方产品，属商业/托管产品。
agent-native-design,Agent-Native Design,builder-io,standalone-design-agent,source,H1,commercial/company or open-core
ai-ui-designer,AI UI Designer,ai-ui-designer,standalone-design-agent,architecture,H1,commercial/company or open-core
ai-workflow-builder-rmounith,AI Workflow Builder by R. Mounith Reddy,rmounithreddy,established-visual-platform,source,H1,product_form=established-visual-platform
ai-workflow-builder-robertsbob,AI Workflow Builder by Roberts B,robertsbob,code-native-visual-ide,source,H1,product_form=code-native-visual-ide
aidesigner,AIDesigner,aidesigner,standalone-design-agent,architecture,H1,commercial/company or open-core
aipto,AIPTO,aipto,standalone-design-agent,architecture,H1,commercial/company or open-core
alloy,Alloy,alloy,standalone-design-agent,architecture,H1,commercial/company or open-core
anthropic-claude-design,Claude Design,anthropic,standalone-design-agent,architecture,H1,commercial/company or open-core
anthropic-course-uigen,UIGen Claude Code in Action sample,anthropic,code-native-visual-ide,source,H1,commercial/company or open-core
anything,Anything,anything,ai-app-site-builder,architecture,H1,commercial/company or open-core
appy-pie-ui,Appy Pie AI UI Generator,appy-pie,ai-app-site-builder,architecture,H1,commercial/company or open-core
atoms,Atoms,metagpt,ai-app-site-builder,architecture,H1,commercial/company or open-core
autocraft,Autocraft,autocraft,standalone-design-agent,architecture,H1,commercial/company or open-core
backdraft,Backdraft,backdraft,code-native-visual-ide,architecture,H1,commercial/company or open-core
baidu-comate,Comate,baidu,general-agent-visual-tools,architecture,H1,company org (baidu)
baidu-miaoda,Miaoda,baidu,ai-app-site-builder,architecture,H1,commercial/company or open-core
banani,Banani,banani,standalone-design-agent,architecture,H1,commercial/company or open-core
base44,Base44,wix,ai-app-site-builder,architecture,H1,commercial/company or open-core
boardmix-ai,boardmix AI,boardmix,established-visual-platform,architecture,H1,commercial/company or open-core
bolt-new,Bolt.new,stackblitz,ai-app-site-builder,architecture,H1,commercial/company or open-core
botlab-art,Botlab.art,botlab-art,established-visual-platform,architecture,H1,commercial/company or open-core
budibase,Budibase,budibase,established-visual-platform,source,H1,commercial/company or open-core
builderio-fusion,Fusion,builder-io,code-native-visual-ide,architecture,H1,commercial/company or open-core
calcstack,Calcstack,calcstack,established-visual-platform,architecture,H1,commercial/company or open-core
caliper,Caliper,caliper,code-native-visual-ide,architecture,H1,commercial/company or open-core
canva-magic-design,Canva Magic Design,canva,established-visual-platform,architecture,H1,commercial/company or open-core
capcut,CapCut,bytedance,established-visual-platform,architecture,H1,commercial/company or open-core
caret,Caret,caret,code-native-visual-ide,source,H1,commercial/company or open-core
chartdb,ChartDB,chartdb,established-visual-platform,source,H1,commercial/company or open-core
claude-financial-services,Claude for Financial Services,anthropic,agent-platform-design-surface,source,H1,company org (anthropic)
cloudflare-vibesdk,Cloudflare VibeSDK,cloudflare,ai-app-site-builder,source,H1,commercial/company or open-core
codecanvas-ai,CodeCanvas AI,codecanvas-ai,code-native-visual-ide,source,H1,commercial/company or open-core
codia,Codia,codia,design-code-bridge,architecture,H1,company org (codia)
codoptic,Codoptic,codoptic,code-native-visual-ide,source,H1,commercial/company or open-core
cofounder,Cofounder,openinterface,ai-app-site-builder,source,H1,commercial/company or open-core
comfy-in-app-agent,Comfy In-App Agent,comfy-org,agent-platform-design-surface,architecture,H1,company org (comfy-org)
comfyui,ComfyUI,comfy-org,established-visual-platform,source,H1,commercial/company or open-core
contextui,ContextUI,contextui-desktop,code-native-visual-ide,source,H1,commercial/company or open-core
dafty,Dafty,dafty,established-visual-platform,architecture,H1,commercial/company or open-core
data-formulator,Data Formulator,microsoft,standalone-design-agent,source,H1,commercial/company or open-core
davinci-resolve,DaVinci Resolve,blackmagic-design,established-visual-platform,architecture,H1,commercial/company or open-core
dawn-design,Dawn,dawnlabs,standalone-design-agent,architecture,H1,commercial/company or open-core
dbx,DBX,dbx,established-visual-platform,source,H1,commercial/company or open-core
designflow,DesignFlow,designflow,code-native-visual-ide,source,H1,commercial/company or open-core
designmd-maker-jp,DESIGN.md Maker JP,elephancube,standalone-design-agent,architecture,H1,product_form=standalone-design-agent
diagram,Diagram,figma,established-visual-platform,architecture,H1,commercial/company or open-core
dmaya,dMaya,dmaya,standalone-design-agent,architecture,H1,commercial/company or open-core
dora-ai,Dora AI,dora,ai-app-site-builder,architecture,H1,commercial/company or open-core
draftbit,Draftbit,draftbit,ai-app-site-builder,architecture,H1,commercial/company or open-core
dreamina,Dreamina,bytedance,established-visual-platform,architecture,H1,commercial/company or open-core
dreamui,DreamUI,dreamui,standalone-design-agent,architecture,H1,commercial/company or open-core
dressx-ai-suite,DRESSX AI Suite,dressx,established-visual-platform,architecture,H1,commercial/company or open-core
drupal-canvas,Drupal Canvas,drupal,established-visual-platform,source,H1,commercial/company or open-core
dualite,Dualite,dualite,ai-app-site-builder,architecture,H1,commercial/company or open-core
