slug,product,organization,evidence_depth,lifecycle
anthropic-claude-design,Claude Design,anthropic,architecture,active
openai-codex,Codex,openai,source,active
cursor,Cursor,anysphere,architecture,active
trae-work,TRAE Work,bytedance,architecture,active
qoderwork-design,QoderWork Design,alibaba,architecture,active
replit-design,Replit Design,replit,architecture,active
tencent-codebuddy,CodeBuddy,tencent,architecture,active
baidu-comate,Comate,baidu,architecture,active
devin,Devin,cognition,architecture,active
vercel-v0,v0,vercel,architecture,active
lovable,Lovable,lovable,architecture,active
windsurf,Windsurf,cognition,architecture,archived
github-spark,GitHub Spark,github,architecture,archived
anything,Anything,anything,architecture,active
builderio-fusion,Fusion,builder-io,architecture,active
google-stitch,Stitch,google,architecture,active
google-antigravity,Google Antigravity,google,architecture,active
base44,Base44,wix,architecture,active
bolt-new,Bolt.new,stackblitz,architecture,active
atoms,Atoms,metagpt,architecture,active
subframe,Subframe,subframe,architecture,active
flutterflow,FlutterFlow,flutterflow,architecture,active
figma-make,Figma Make,figma,architecture,active
alloy,Alloy,alloy,architecture,active
magic-patterns,Magic Patterns,magic-patterns,architecture,active
anima,Anima,anima,architecture,active
kombai,Kombai,kombai,architecture,active
baidu-miaoda,Miaoda,baidu,architecture,active
onlook,Onlook,onlook,source,active
tempo,Tempo,tempo-labs,architecture,active
stagewise,stagewise,stagewise,source,active
dosmos,Dosmos,dosmos,source,active
retune,Retune,retune,source,active
tuna,Tuna,tuna,source,active
onui,onUI,onui,source,active
design-canvas,Design Canvas,design-canvas,architecture,active
rivet-design,Rivet,rivet,architecture,active
pen-dev,pen.dev,high-agency,architecture,active
paper,Paper,lost-coast-labs,architecture,active
clearly,Clearly,clearly,architecture,active
magicpath,MagicPath,newcompute,architecture,active
superdesign,Superdesign,superdesign,source,active
nimbalyst,Nimbalyst,nimbalyst,source,active
open-pencil,OpenPencil,openpencil,source,active
openpencil-zseven,OpenPencil ZSeven,zseven-w,source,active
reframe,Reframe,reframe,source,active
open-codesign,Open CoDesign,opencoworkai,source,active
open-design,Open Design,nexu-io,source,active
agentation,Agentation,agentation,source,active
code-inspector,Code Inspector,zh-lx,source,active
puck,Puck,puck,source,active
figwright,Figwright,roya,source,active
mcp-excalidraw,mcp_excalidraw,yctimlin,source,active
monet,Monet,het-patel,source,active
uizard,Uizard,miro,architecture,active
galileo-ai,Galileo AI,galileo-ai,architecture,archived
diagram,Diagram,figma,architecture,archived
framer-ai,Framer AI,framer,architecture,active
relume,Relume,relume,architecture,active
webflow-ai,Webflow AI,webflow,architecture,active
canva-magic-design,Canva Magic Design,canva,architecture,active
firebase-studio,Firebase Studio,google,architecture,archived
motiff,Motiff,motiff,architecture,archived
talktofigma,TalkToFigma,talktofigma-maintainers,source,active
figma-design-agent,Figma Design Agent,figma,architecture,active
calicat,Calicat,beijing-damaidi,architecture,active
zcad,zCAD / Zixel 3D CAD,zixel,architecture,active
gamma,Gamma,gamma,architecture,active
etlaq,Etlaq,etlaq-sa,architecture,active
morfis,Morfis,university-of-luxembourg,architecture,active
pptagent,PPTAgent / DeepPresenter,iscas,source,active
slideagent,SlideAgent / DynaSlide,beijing-normal-university,source,active
talk-to-your-slides,Talk-to-Your-Slides,kaist,source,active
auto-slides,Auto-Slides,westlake-university,source,active
caddesigner,CADDesigner,zhejiang-university,source,active
viscanvas,VisCanvas,arizona-state-university,source,active
tldraw,tldraw SDK / Agent Starter Kit,tldraw,source,active
frontend-slides,Frontend Slides,zarazhangrui,source,active
app-store-screenshots,App Store Screenshots,parth-jadhav,source,active
html-video,HTML Video,nexu-io,source,active
html-anything,HTML Anything,nexu-io,source,active
framelink-mcp,Framelink MCP for Figma,framelink,source,active
primo,Primo,primo,source,active
openflowkit,OpenFlowKit,vrun-design,source,active
uno-studio,Uno Platform Studio / Hot Design,uno-platform,architecture,active
penpot,Penpot,penpot,source,active
antv-infographic,AntV Infographic,antv,source,active
silex,Silex Desktop AI,silex-labs,source,active
figma-console-mcp,Figma Console MCP,southleft,source,active
figma-relai,Figma Relai,figma-relai,source,active
figma-mcp-bridge,Figma MCP Bridge,hopp,source,active
css-studio,CSS Studio,motion,architecture,active
dreamina,Dreamina,bytedance,architecture,active
agent-native-design,Agent-Native Design,builder-io,source,active
chordio-px-bench,Chordio / PX-bench,chordio,architecture,active
fleck,Fleck,fleck,architecture,active
paraflow,Paraflow,paraflow,architecture,active
mantis-cad,MANTIS CAD,mantis-cad,architecture,active
botlab-art,Botlab.art,botlab-art,architecture,active
miro-prototypes,Miro Prototypes,miro,architecture,active
hostinger-horizons,Hostinger Horizons,hostinger,architecture,active
ux-pilot,UX Pilot,ux-pilot,architecture,active
ai-ui-designer,AI UI Designer,ai-ui-designer,architecture,active
mastergo-ai,MasterGo AI,mastergo,architecture,active
modao-ai,墨刀 AI,modao,architecture,active
jsdesign-ai,即时设计 AI,jsdesign,architecture,active
boardmix-ai,boardmix AI,boardmix,architecture,active
faisca,Faísca,faisca,architecture,active
gloria,Gloria,gloria,architecture,active
efecto,Efecto,efecto,architecture,active
synthesisui,SynthesisUI,synthesisui,architecture,active
adobe-firefly-creative-agent,Adobe Firefly Creative Agent,adobe,architecture,active
aihouse,AIHouse,aihouse,architecture,active
bunyan,Bunyan,bunyan,architecture,active
facade,Facade,facade,architecture,active
adly,Adly,adly,architecture,active
m2-canvas,M2 Canvas,m2,architecture,active
wonder,Wonder,wonder,architecture,active
inspector,Inspector,inspector,architecture,active
banani,Banani,banani,architecture,active
dart-design-agent,Dart AI Design Agent,dart,architecture,active
uxcanvas,UXCanvas.ai,uxcanvas,architecture,active
lovart,Lovart,lovart,architecture,active
dotgui,dotGUI,dotgui,source,active
figspecs,FigSpecs,figspecs,architecture,active
plexui-bridge,PlexUI AI Bridge,plexui,architecture,active
program-ui,Program UI,program-ui,architecture,active
dmaya,dMaya,dmaya,architecture,active
dstoai,DStoAI,dstoai,architecture,active
youware,YouWare,youware,architecture,active
jeda,Jeda.ai,jeda,architecture,active
niki,Niki,niki,architecture,active
gendesigns,GenDesigns,gendesigns,architecture,active
mimic-ai,Mimic AI,mimic-ai,source,active
wix-harmony,Wix Harmony,wix,architecture,active
adalo-ai,Adalo AI,adalo,architecture,active
microsoft-designer,Microsoft Designer,microsoft,architecture,active
squarespace-blueprint,Squarespace Blueprint AI,squarespace,architecture,active
one-aida,one.com Aida,one-com,architecture,active
brilliant-design,Brilliant,brilliant,architecture,active
locofy,Locofy,locofy,architecture,active
dualite,Dualite,dualite,architecture,active
we0,We0.ai,we0,source,active
visdiff,Visdiff,visdiff,architecture,active
zigma,Zigma,zigma,architecture,archived
codejet,Codejet,codejet,architecture,active
rocket-new,Rocket.new,rocket-new,architecture,active
serendie-ai,Serendie Design System AI,mitsubishi-electric,source,active
designmd-maker-jp,DESIGN.md Maker JP,elephancube,architecture,active
aidesigner,AIDesigner,aidesigner,architecture,active
hozo,HOZO,dentsu-digital,architecture,active
layermate,Layermate,layermate,architecture,active
musho,Musho,musho,architecture,archived
flato,Flato,flato,architecture,active
komposo,Komposo,komposo,architecture,active
pixello,Pixello,pixello,architecture,active
disenia,DisenIA,disenia,architecture,active
codia,Codia,codia,architecture,active
quby-weave,Quby Weave,quby,architecture,active
artiso,ARTISO,artiso,architecture,active
inescop-footwear,INESCOP footwear prototype,inescop-iti,architecture,archived
jenova,Jenova UI prototype generator,jenova,architecture,active
ux-studio-ai,UX Studio AI,ux-studio-ai,architecture,active
holst-ai,Холст.ИИ,holst-ai,architecture,active
ai-design-space,AI DESIGN SPACE,ai-design-space,architecture,active
pippit,Pippit AI Design,bytedance,architecture,active
easeui,EaseUI,easeui,architecture,active
appy-pie-ui,Appy Pie AI UI Generator,appy-pie,architecture,active
rosebud-ai,Rosebud AI,rosebud-ai,architecture,active
vidova,Vidova,deepshot-inc,architecture,active
pptcraft,PPTCraft,pptcraft,architecture,active
influencer-studio,Influencer Studio,influencer-studio,architecture,active
reel-studio,Reel Studio,reel-studio,architecture,active
okkslides,OkkSlides,autogent,architecture,active
slidex,SlideX,slidex,architecture,active
zoea,Zoea,zoea,architecture,active
story-video-editor,Story AI Video Editor,story,architecture,active
preso,Preso,preso,architecture,active
visk,Visk,visk,architecture,active
deckscript,DeckScript,deckscript,architecture,active
google-vids,Google Vids,google,architecture,active
recraft,Recraft,recraft,architecture,active
kittl,Kittl,kittl,architecture,active
capcut,CapCut,bytedance,architecture,active
dafty,Dafty,dafty,architecture,active
autodesk-flow-studio,Autodesk Flow Studio,autodesk,architecture,active
hemline,Hemline,hemline,architecture,active
textocad,TextoCAD,gadidokan,architecture,active
