slug,total,authority,mutation,artifact,human_loop,delivery,rationale
ai-website-generator-dhanu7789,6.2,8,3,7,6,7,"A prompt becomes labelled HTML/CSS/JS sections and 'the model genuinely determines the resulting artifact', parsed into three mutable source strings shown in an iframe and packaged as a ZIP. Mutation penalized: no evidence for AI in-place iteration on an existing page ('no project database or version store is present'), so revision semantics are unproven."
skillstead,6.0,7,4,7,6,6,"svg-infographic 'computes a layout, writes structured SVG, lints the source before rendering, and exports a 2x PNG', with the SVG as editable authority and a deterministic validation contract (containment, connectors, CJK). Mutation scored 4 only: the skill can be re-run to revise SVG source, but direct in-place edit of an existing infographic is not evidenced; semantic correctness still needs human/agent review ('no evidence for in-place AI mutation')."
creative-forge,6.2,7,4,8,6,6,"A creative agent maps template/prompt to canvas objects preserved through canvas saving services and SQLite/Supabase adapters, with reusable templates and migration-tracked metadata ('Template records and migration history make campaign structures reusable'). Mutation scored 4: agent tooling adds/manipulates canvas objects but no explicit in-place AI editing of existing work is evidenced; live collaborative deployment was not exercised, capping delivery."
unofficial-davinci-mcp,7.6,7,9,8,7,7,"With Resolve Studio the MCP 'inspects and mutates the open native project' via the scripting API (media pools, timelines, markers, LUTs, render jobs), and without it materializes FCPXML/EDL/marker/LUT/mix artifacts; mutating workflows return dry-run plans and require confirmation. AI proposes creative edits but deterministic engines (beat grid, color, loudness) own facts and may flag 'needs_human', so authority and human-loop are gated at 7."
pradaslides,6.6,8,4,8,6,7,"A short prompt or source pack becomes a brief, evidence-aware narrative and visual contract routed to editable PPTX, native HTML or PDF, with visual QA covering contrast, typography, crop integrity and topology. Mutation scored 4: routing produces distinct artifact authorities per format, but no direct in-place AI revision of an existing deck is evidenced in the dossier; benchmark depth is proven for the HTML route only."
protome,5.6,5,6,7,5,5,"Design is an optional stage where the user-confirmed brief outranks generated visual references; canvas refreshes 'update text in place and preserve user-arranged layout', so AI does mutate the editable board. Authority is capped because 'visual concepts remain communication assets' decided by the human brief, and delivery is a handoff (proto-plan executable file) feeding an implementation stage rather than the final product."
sim,8.2,7,9,9,7,9,"The editable block graph is 'the same object across visual authoring, conversational modification, execution, deployment and monitoring', persisted alongside deployment, execution and collaboration records, and 'execution interprets the graph rather than prompting from a screenshot'. Conversational/visual/code construction means AI mutates the persistent graph directly, and errors/deploy versions/reverts reach real consumers; human authorship of workflows keeps authority at 7."
design-md-chrome,3.0,1,1,5,5,3,"The extension deterministically reads computed signals and normalizes them into DESIGN.md/SKILL.md generators with 'no AI model during generation' involved in the product; it 'does not edit the source website or become a canvas'. As a bridge it rates 1 on authority and mutation per rule 6, and delivery is an intermediate governance artifact for another agent rather than a shipped result."
bolt-new,8.8,9,9,9,8,9,"Current Bolt turns prompts, files, templates, Figma frames or repositories into a JavaScript application and iterates through chat, rendered-element Select, Code View and GitHub; the historical MIT tree proves streamed file/shell actions writing project source. Human still chooses platform/model, presses explicit Publish/Update and owns Git merges, so human_loop is 8 rather than 10; closed storage/diff semantics penalize nothing further at this evidence ceiling."
xsharko-ai,6.6,8,6,7,6,6,"OpenRouter creates or revises one complete HTML page stored as latestCode in MongoDB with deployment metadata; 'later prompts include current code and replace latestCode after a successful parse', which is whole-document regeneration-with-context rather than fine-grained in-place editing (mutation 6). Artifact is durable but the snapshot has 'no durable historical version collection', and delivery stops at code export/deployment tracking."
image-to-svg,7.2,8,8,8,6,6,"The agent reconstructs vectors by measuring silhouette/color, constructing paths and rendering back to pixels, and 'iterates on vector geometry rather than painting over the preview', with svg_audit rejecting embedded rasters — direct mutation of the SVG authority. Delivery is 6 because the skill produces exportable SVG evidence of high similarity on specific assets, not a bounded general guarantee."
node-canvas,4.8,4,3,7,4,6,"Typed React Flow nodes and ordered edges determine how generation jobs compose and provider services execute the graph; the human authors the workflow and AI only executes nodes, so authority and mutation are low (no evidence AI edits the graph). Project save/sanitize keeps the graph durable and generator outputs deliver media, but node-canvas remains 'a graph authoring product, not a count for every provider adapter'."
claude-engineering-skills,4.2,4,3,4,5,5,"The library lets an external agent assemble a traceable engineering analysis from domain data, calculation and integration skills, but 'Python examples and third-party solvers perform deterministic computation' and the library 'does not own a common geometry model or project database'. AI authors analysis by composition rather than by direct iteration on a persistent design artifact (no evidence for mutation), so authority/artifact stay low."
slide-promax,7.0,8,6,8,6,7,"One agent skill produces prototypes, browser decks, editable PowerPoint, motion, infographics and critique with format-specific renderers; 'the advisor generates at least three materially different directions, then waits for a choice', so AI authors the content but human choice is a first-class gate. Mutation is 6: review sheets and critique reports guide refinement, but direct in-place editing of an existing deck is not detailed in the dossier."
kyh-ai-canvas,6.6,7,8,7,6,5,"The canvas exposes structured block/project state to an agent and 'the editor applies those operations to the same block graph a human selects and moves', so AI directly mutates the persistent graph via typed operations. Delivery is capped at 5 because this is 'a working AI visual-editor starter' rather than a shipped product, with no evidence of a fuller user loop beyond the forkable demo."
brainfuel-agent-builder,4.6,4,3,7,4,5,"A native macOS workflow canvas where SwiftData persists the graph and Coordinators traverse edges to craft typed handoffs; the human authors the canvas and provider services make live LLM/MCP calls, so AI executes rather than authors the design (no evidence AI edits the graph). The product is 'closer to a local agent IDE than a hosted no-code SaaS' with no shared deployment, capping delivery at 5."
loomic,7.0,7,8,8,6,6,"Canvas context is visible to the LangGraph agent and generated media 'returns as manipulable canvas elements rather than a detached gallery', with explicit inspect-canvas and manipulate-canvas tools mutating the composition. Supabase migrations separate project, canvas, chat, thumbs and screenshots into durable clocks; delivery is 6 because no paid provider job was run to prove end-to-end media delivery."
baidu-miaoda,8.0,8,8,8,7,9,"A PRD-gated multi-agent builder where a structured prdAgentAction/generateApp token gates initial generation, then LUI/GUI/code edits mutate the generated app and AI inspection triggers repair; delivery covers hosted release, packages, custom domains and source ZIP. Human gates (PRD confirmation, explicit publish) hold human_loop at 7; the closed generator core prevents rating authority/mutation above 8."
despy,6.0,5,8,7,4,6,"AI patch editing is real: the server adds a SEARCH/REPLACE contract to Gemini and 'AI and manual work converge on one source map' via the same writeFile/HMR path as Monaco. The professor defines governance, locked source, model and rubric and the student drives the session (authority 5, human_loop 4), while submission records persist final files, grading and prompts but are 'not editable project versions' (delivery 6)."
claude-figma-kit,7.4,8,8,8,6,7,"A product description is divided into brief, tokens, components, pages and review commands; figma-init writes a design brief the user reviews, then Figma Plugin API execution 'materializes those decisions in the active file' as native variables and nodes. The reviewer agent inspects rather than accepting command completion, so AI authorship and mutation of the persistent Figma artifact are strong while the human brief gate and host OAuth keep human_loop at 6."
figma-ui-mcp,7.0,6,9,8,6,6,"The bridge hosts figma_write, which runs bounded JavaScript 'to create or change editable nodes' in the native Figma graph, plus read/token tools, so the host coding agent directly mutates the persistent Figma document (mutation 9). Authority is 6 because the product supplies the transport/operation layer while the hosted agent authors the actual design; Figma owns persistence and delivery, so the bridge's own delivery is 6."
dreamforge,6.6,7,6,8,6,6,"AI-authored fictional worlds persist as PostgreSQL universes, entities and relationships, with agent services creating additional lore/quests through application and MCP routes while the React Flow graph is an exploration projection. Authority is high because AI authors the model content, but mutation is 6 (agents append/create content; in-place restructuring of existing entities is not explicit) and delivery is 6 (a working app surface, not a publish pipeline)."
figma2webflow-aw,6.8,7,8,7,5,7,"A project manager coordinates an architect and operator so 'one agent' does not inspect, mutate and approve its own work; the operator builds Webflow DOM/classes/styles in small MCP chunks and the architect approves or records corrections, with a mandatory session handoff and explicit user approval gate before host mutation. AI agents author and directly mutate the Webflow implementation, but the mandatory human approval and separated duties hold human_loop at 5."
hyperframes,7.2,8,7,8,6,7,"An agent writes a time-addressable HTML/CSS motion composition that is linted, inspected, browser-previewed and rendered deterministically to MP4; 'source correction -> re-render' is the iteration loop, so AI authors and revises the persistent HTML project. Delivery is 7: MP4 is a delivery projection while versioning remains ordinary Git/filesystem rather than an evidenced hosted design graph."
heym,5.6,4,3,8,5,8,"Human-authored workflow graphs move through optimistic revision-aware editing into immutable versions executed by a registered graph engine, with recovery, traces and multiple delivery surfaces (portal, API, webhook, schedule, MCP). AI executes inside nodes rather than authoring or directly editing the graph (no evidence of AI mutation), so authority 4 / mutation 3; the durable versioned artifact and delivery breadth carry the score."
design-md-extractor,3.0,1,1,5,5,3,"Deterministic extraction of computed styles and interactions with no AI model called during extraction; normalization feeds generators for DESIGN.md, tokens, preview and coverage, and 'the tool does not write back to the source website'. As a deterministic bridge it scores 1 on authority and mutation (rule 6), delivering an evidence bundle for later agents rather than a shipped design result."
rivet-design,8.0,8,9,8,7,8,"Several workers mutate isolated Git-worktree copies of a real project under leases, render them as live alternatives, and 'commit variant' applies the selected worker delta to the user's working tree; fresh runs materialize static or Vite projects with shared node_modules. Durable variant manifests and a private tree store persist exact tree refs, while the human picks the winner and owns Git/PR/publish, keeping authority and human_loop at 8/7."
paraflow,7.4,8,7,8,6,8,"The agent proposes a todo plan for confirmation, then generates structured Specs feeding flows, UI screens and a prototype in one managed project; 'later visual choices remain connected to a product model rather than a single prompt' and iterative agent plus direct refinement is the loop. Handoff to Figma, GitHub, HTML or ZIP is explicit multi-authority materialization, with no evidence of continuous three-way sync keeping mutation at 7."
rtl-claw,6.6,7,7,7,6,6,"A skill-routed agent workflow where 'the agent can propose and transform RTL' while synthesis, simulation and acceptance tooling remain the numerical authority, and Partition-Opt-Merge recombines focused edits before verification; workspace files carry RTL and verification outputs between stages. Delivery is 6 because verification/synthesis/physical-design ambitions are partly unpublished ('does not support claiming a complete public RTL-to-GDS implementation')."
designmd-canvas,5.6,5,7,6,5,5,"A Copilot CLI canvas where agent-facing actions load/update a per-canvas artifact rendered via loopback server, source edits rerender views and a color picker maps back into the displayed markdown before re-running lint/contrast — AI/agent directly mutates the working design-system artifact. Authority is 5 because it inspects and corrects an existing design document rather than authoring it from intent, and saving back to the repository is an explicit later action (delivery 5)."
