wave_id,candidate_id,selection_stratum,selection_reason,outcome,reviewed_on,decisive_evidence
VERIFY-001,cand-figma-design-agent,native-design-canvas,Tests native host authority against the separately counted Figma Make and external bridges,included,2026-08-11,Official product and help contracts establish direct mutation of versioned Figma layers
VERIFY-001,cand-talktofigma,open-source-agent-bridge,Tests a commit-pinnable bidirectional external-agent path into an established design graph,included,2026-08-11,Pinned source traces MCP through a WebSocket relay and Figma plugin to native node operations
VERIFY-001,cand-calicat,Chinese-prototype-workspace,Tests non-English discovery plus a combined prototype requirements and task graph,included,2026-08-11,Official help and changelog establish native layer editing background agents snapshots and MCP handoff
VERIFY-001,cand-zcad,parametric-CAD,Tests whether UI-derived graph categories erase engineering constraints and release semantics,included,2026-08-11,Official CAD PDM version and organization sources establish editable parametric authority and multi-region lineage
VERIFY-001,cand-gamma,presentation-document-site,Tests structured presentation artifacts and nested AI graphics outside the original UI stratum,included,2026-08-11,Official help establishes cards Agent template instructions version restore collaboration and delivery projections
VERIFY-001,cand-etlaq,Arabic-first-app-builder,Tests Arabic-first discovery and a region-specific managed product-delivery loop,included,2026-08-11,First-party Saudi product page establishes screens logic data operations and deployment in one project
VERIFY-001,cand-botlab-art,textile-design,Tests whether a textile agent exposes a continuing workspace and durable recovery surface rather than only generated media,included,2026-08-11,First-party product now establishes an agent-driven infinite canvas plus generated-work creation records inside the user material library
VERIFY-001,cand-mantis-cad,agent-first-CAD,Contrasts an early-access AI-first CAD entrant with the shipped cloud CAD record,included,2026-08-11,First-party workflow establishes parametric conversational edits that preserve intent with standard STEP IGES and CadQuery handoff while early-access internals stay unknown
VERIFY-002,cand-maxprototyper,research-prototype-release-boundary,Tests whether an interactive paper prototype became an independently inspectable project,excluded,2026-08-11,Paper contains no canonical maintained product or source release with verifiable artifact authority
VERIFY-002,cand-morfis,physical-product-customization,Tests whether natural-language customization continues as an engineering artifact rather than a rendered mesh,included,2026-08-11,Official product and startup-track paper establish editable parametric manufacturable CAD output and a continuing workspace
VERIFY-002,cand-ai2apps,research-visual-IDE-boundary,Tests whether a released canvas owns Design artifacts or agent-application logic,excluded,2026-08-11,Released AI2Apps project visually authors AI-agent applications rather than an independently scoped Design artifact
VERIFY-002,cand-prototypeagent,research-prototype-identity,Resolves a misnamed human-centered UI research prototype and tests independent release status,excluded,2026-08-11,Paper names PrototypeFlow and no maintained public product or implementation was found
VERIFY-002,cand-gameuiagent,structured-game-UI-research,Tests whether the reported Figma representation is exposed through a maintained project,excluded,2026-08-11,Paper describes the mechanism but exposes no independently inspectable implementation or current product
VERIFY-002,cand-intelligent-canvas,visual-analysis-prototype,Tests both visualization-authoring scope and independent release status,excluded,2026-08-11,Paper reports an exploratory prototype without a maintained public implementation or product boundary
VERIFY-002,cand-cocoa,scientific-workflow-boundary,Tests whether steerable co-execution constitutes a Design artifact loop,excluded,2026-08-11,Implemented object is a scientific workflow and document co-execution prototype rather than a Design workspace
VERIFY-002,cand-kanvas-ai,canvas-reproducibility,Tests whether a reported Django canvas has a canonical maintained identity,excluded,2026-08-11,No first-party public product or maintained source identity could be verified beyond the paper
VERIFY-002,cand-viscanvas,nonlinear-visualization-authoring,Tests whether branch and merge are real graph operations over reusable visual artifacts,included,2026-08-11,Pinned source stores node and edge state with editable Vega-Lite specifications and implements duplicate branch and merge operations
VERIFY-002,cand-pptagent,presentation-lineage-transition,Tests one project lineage across its original template editor and current HTML-first agent,included,2026-08-11,Pinned history traces PPTAgent edit APIs through DeepPresenter HTML generation visual reflection and PPTX materialization
VERIFY-002,cand-slideagent,dynamic-template-update,Tests the released authority behind natural-language updates to user-provided slide templates,included,2026-08-11,Pinned source parses native slides and data then emits a structured YAML update plan plus rendered evidence
VERIFY-002,cand-talk-to-slides,native-slide-mutation,Tests whether the agent directly mutates an established host document,included,2026-08-11,Pinned source parses active PowerPoint objects generates mutations through COM and saves the native presentation
VERIFY-002,cand-auto-slides,presentation-source-authority,Tests whether interactive revision returns to a durable authoring representation,included,2026-08-11,Pinned source persists plan JSON and LaTeX then verifies repairs compiles and revises those files from feedback
VERIFY-002,cand-caddesigner,parametric-CAD-source-loop,Tests executable CAD authority plus symbolic and visual repair evidence,included,2026-08-11,Pinned source writes and executes CAD code requires valid STL and STEP outputs and feeds failures and renders into repair
VERIFY-002,cand-agentscad,CAD-paper-name-collision,Separates the AgentsCAD paper from the independently discovered AgentSCAD project,excluded,2026-08-11,Linked paper is AgentsCAD and has no maintained release; its record must not absorb a different open-source AgentSCAD product
VERIFY-002,cand-agent-aided-cad,CAD-research-release-boundary,Tests whether AADvark became an independently maintained artifact workspace,excluded,2026-08-11,Paper-only prototype exposes no maintained product or source implementation for artifact-level verification
VERIFY-002,cand-designgpt,multi-agent-product-design,Tests whether a design-research framework exposes a working executable artifact boundary,excluded,2026-08-11,Paper has no independently released product or maintained implementation whose artifact and persistence can be inspected
VERIFY-003,cand-tldraw,agent-canvas-infrastructure,Tests whether an SDK and starter kit own a verifiable visual artifact boundary rather than merely advertising AI compatibility,included,2026-08-11,Pinned store and agent-template source plus official persistence contracts establish an editable record graph and agent action path
VERIFY-003,cand-frontend-slides,agent-authored-presentations,Tests the decision point and durable artifact behind a skill-driven deck workflow,included,2026-08-11,Pinned skill requires three visual candidates before adoption then writes one self-contained HTML deck and browser-rendered PDF
VERIFY-003,cand-app-store-screenshots,agent-scaffolded-marketing-artifacts,Tests whether generated scaffolding becomes a resumable user-editable Design workspace,included,2026-08-11,Pinned project makes JSON and uploaded assets authoritative while the editor autosaves and exports exact store-size PNGs
VERIFY-003,cand-html-video,programmatic-video-authority,Tests the intermediate model and correction loop behind agent-generated video,included,2026-08-11,Pinned source persists a content graph and per-frame HTML then records Chromium output through ffmpeg with explicit project and export state
VERIFY-003,cand-html-anything,multi-surface-html-authoring,Tests whether broad HTML generation has one inspectable authority and recovery path,included,2026-08-11,Pinned source keeps single-file HTML as the deliverable and IndexedDB versions as restorable per-task history around the live iframe
VERIFY-003,cand-open-canvas,writing-canvas-design-boundary,Tests whether an artifact canvas actually ships a visual Design loop,excluded,2026-08-11,Pinned archived source ships Markdown and code writing while visual React and HTML rendering remained roadmap work
VERIFY-003,cand-figma-context-mcp,one-way-design-grounding,Separates design-context materialization from native design mutation,included,2026-08-11,Pinned server exposes only simplified Figma data and image download tools so Figma remains upstream and generated code becomes a separate downstream artifact
VERIFY-003,cand-primo,visual-cms-file-roundtrip,Tests how an agent-facing filesystem converges with a managed visual CMS,included,2026-08-11,Pinned pull and push code round-trips structured site files through PocketBase while preserving explicit server and local ownership boundaries
