slug,product,tier,reason
3d-modeling-skill,3D Modeling Skill,other,real auditable dual-route pipeline with pinned source and normative contracts
3dcodebench,3DCodeBench,other,规则排除
3dmodel-skill,3dmodel Skill,other,pinned skill with concrete 3D route method and visual feedback loop
42maker,42Maker,other,"closed hosted CAD editor with only product/running-editor pages, no contracts disclosed"
a0-component-studio,a0 AI Component Studio,other,pinned open-source docs-grounded component generation with real source
a2ui,A2UI,other,real protocol family with schemas and renderer implementations
abc-agent-builder-console,ABC Agent Builder Console,other,pinned open-source graph-authored agent console with governance runtime and versions
absbuilder,ABSBuilder,other,"pinned open-source studio with provider cascade, labeled fallback and real ZIP delivery"
abu-cowork,Abu Cowork,other,pinned open-source Apache-2.0 local-first design surface with versions and reconcile
abvx-agent-skills,ABVX Agent Skills,other,source-level validation-gated artifact workflow with pinned repo
ada-v2-nazir,ADA V2 by Nazir Louis,other,pinned open-source voice-driven parametric CAD to STL with real implementation
ada-v2-syed,A.D.A by Syed Daiam,other,pinned open-source derived CAD workspace with real provider abstraction
adalo-ai,Adalo AI,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
addercad,AdderCAD,other,"closed early-access product, only landing page, no exposed source or contracts"
adeu,Adeu,other,pinned open-source DOCX-to-LLM redlining with Word virtual DOM authority
adk-playground,ADK Playground,other,pinned open-source ADK authoring/debug env with YAML authority and sandbox
adk-studio,ADK Studio,other,pinned open-source project graph driving both execution and Rust codegen
adly,Adly,other,real hosted brand-campaign workspace with MCP/Telegram/WhatsApp surfaces and analyzable release mechanism
adobe-firefly-creative-agent,Adobe Firefly Creative Agent,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
adobepy,adobepy,other,pinned open-source Rust JSON-RPC broker with typed facades over Adobe hosts
aesthetron,Aesthetron AI,other,"closed Figma plugin with only product-site evidence, no source or contracts"
aether-architect,Aether Architect,other,pinned open-source structured UI-tree editor with staged generation
aetheros,AETHEROS,other,pinned open-source prompt-to-graph-to-blueprint authoring loop genuinely implemented
affine,AFFiNE,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
ag0-diagramming-agent,AG0 Diagramming Agent,other,pinned open-source file-based shared human/model diagram authorship
agcluster-container,AgCluster Container,other,pinned open-source governed agent config plus isolated visual work surface
agent-canvas-randomvibecoder,Agent Canvas,other,"real FastAPI+Fabric.js editor where model tool-call writes executable drawing code, pinned source"
agent-diagram-tool,Agent Diagram Tool,other,"bidirectional diagram DSL co-designer with undoable edits and React Flow export, pinned source"
agent-game-forge,Agent Game Forge,other,"coding agent + visual scene editor mutating shared scene graph via daemon SceneOps, pinned source"
agent-mesh-sre,Agent Mesh on Streaming World,other,real builder with React Flow canvas and localStorage export source code
agent-native-design,Agent-Native Design,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
agent-office-suite,Agent Office Suite,other,real MCP tools over native artifacts with attributed versioned mutations and RevisionHistory
agent-scad,AgentSCAD,other,"OpenSCAD authority with deterministic validation/repair loop and SQLite jobs, pinned source"
agent-setup,Agent Architecture by Shivraj,other,"real Copilot workspace defining role handoffs, artifacts and ticket transitions, pinned source"
agent-svgtools,agent-svgtools,other,real Rust CLI rendering and auditing SVG against raster targets at source level
agent-vision-toolkit,Agent Vision Toolkit,other,real toolkit with pixel-diff and deterministic html-shot helpers at source level
agent-workflow-canvas,Agent Workflow Canvas,other,"synthetic fixed-scenario demo, not deployed automation"
agentation,Agentation,other,source-available annotation component with concrete in-runtime mechanism
agentbuilder-chebale,AgentBuilder by Chebale Omkar,other,"form-led multi-agent platform with real orchestrator, MongoDB step model and run loop"
agentflow,AgentFlow,other,"React Flow topology compiled to LangGraph runtime with tools, memory and observability"
agentforge,AgentForge,other,graph-to-pipeline contract and role graph concrete though runtime backend is demo-grade
agentforge-winka-alcel,AgentForge by winka-alcel,other,"incomplete runtime: declared tools unused, stale provider model IDs, API keys not wired"
agentgo,AgentGo,other,"local desktop IDE with executable DAG via Eino ADK, CapabilityBus and governance boundaries"
agentic-3d-printing,Agentic 3D Printing,other,"concrete constraint-to-CAD skill with printability checks and visual self-inspection, pinned"
agentic-ai-website-builder-akhil,Agentic AI Website Builder by Akhil Maratha,other,"chat-to-files pipeline with Mongo versions and restore route, real implementation"
agentic-design-canvas,Agentic Design Canvas,other,working human-agent vector editor on shared scene graph with perceive-plan-act-verify and concurrency spec
agentic-signal,Agentic Signal,other,"local graph workflow engine with implemented structured-output repair strategies, pinned"
agentic-ui-design-poc,Agentic UI Design Workflow POC,other,runnable five-agent Figma-to-HTML pipeline with persistent design context and visual QA
agenticbuilder-showjihyun,AgenticBuilder by showjihyun,other,persisted React Flow workflow submitted to real multi-provider LangChain execution
agentix,Agentix,other,"graph-to-config prototype using model-as-compiler with Convex-persisted graph, concrete"
agents-ui,agents-ui,other,"visual control surface over Claude Code config with workflow builder and SSE runs, pinned"
agents365-drawio-skill,Agents365 Draw.io Skill,other,portable skill with style schema and validation toolchain over editable drawio XML
agentsite,AgentSite,other,"reviewed multi-role website pipeline with typed contracts and executable review gate, pinned"
