slug,product,organization,evidence_depth,lifecycle,bucket
3d-modeling-skill,3D Modeling Skill,ghsi-3d-modeling,source,active,active
3dcodebench,3DCodeBench,yipeng-3dcodebench,source,active,active
3dmodel-skill,3dmodel Skill,fletcher-3dmodel,architecture,active,active
42maker,42Maker,42maker-browser-cad,architecture,active,active
abc-agent-builder-console,ABC Agent Builder Console,magpiefelt-abc-agent-builder,source,active,active
absbuilder,ABSBuilder,afi-absbuilder,source,active,active
abu-cowork,Abu Cowork,pm-shawn-abu-cowork,source,active,active
abvx-agent-skills,ABVX Agent Skills,abvx-agent-skills,source,active,active
ada-v2-nazir,ADA V2 by Nazir Louis,nazir-ada-v2,source,active,active
ada-v2-syed,A.D.A by Syed Daiam,syed-ada-v2,source,active,active
adalo-ai,Adalo AI,adalo-ada-app-builder,architecture,active,active
adeu,Adeu,dealfluence-adeu,source,active,active
adk-playground,ADK Playground,danroblewis-adk-playground,source,active,active
adk-studio,ADK Studio,zavora-adk,source,active,active
adly,Adly,adly-marketing-design,architecture,active,active
adobepy,adobepy,dcc-mcp-adobepy-runtime,source,active,active
aesthetron,Aesthetron AI,aesthetron-figma-agent,architecture,active,active
aether-architect,Aether Architect,w3jdev-aether-architect,source,active,active
aetheros,AETHEROS,dafum-aetheros,source,active,active
affine,AFFiNE,toeverything-affine,source,active,active
ag0-diagramming-agent,AG0 Diagramming Agent,corespeed-ag0-diagramming,source,active,active
agcluster-container,AgCluster Container,whiteboardmonk-agcluster,source,active,active
agent-canvas-randomvibecoder,Agent Canvas,randomvibecoder-agent-canvas,source,active,active
agent-diagram-tool,Agent Diagram Tool,thebobrovs-gcp-diagram,source,active,active
agent-mesh-sre,Agent Mesh on Streaming World,aswin-agent-mesh,source,active,active
agent-native-design,Agent-Native Design,builderio-agent-native-design,source,active,active
agent-office-suite,Agent Office Suite,manpo-aose,source,active,active
agent-scad,AgentSCAD,kevoyuan-agentscad,source,active,active
agent-setup,Agent Architecture by Shivraj,agent-setup-team,source,active,active
agent-svgtools,agent-svgtools,wyrd-agent-svgtools,source,active,active
agent-vision-toolkit,Agent Vision Toolkit,anionex-vision,source,active,active
agent-workflow-canvas,Agent Workflow Canvas,kevin-astuhuaman-agent-canvas,source,active,active
agentation,Agentation,agentation,source,active,active
agentbuilder-chebale,AgentBuilder by Chebale Omkar,chebaleomkar-agentbuilder,source,active,active
agentflow,AgentFlow,agentflow-darshit-sharma,source,active,active
agentgo,AgentGo,agentgo-team,source,active,active
agentic-3d-printing,Agentic 3D Printing,eric-agentic-3d,source,active,active
agentic-ai-website-builder-akhil,Agentic AI Website Builder by Akhil Maratha,akhil-agentic-builder,source,active,active
agentic-signal,Agentic Signal,agentic-signal-team,source,active,active
