stratum_id,dimension,label,state,scope,qualifying_batch_refs,assessed_on,decision_basis,limitations
channel-web,channel,General web search,active,Language region and product-domain web queries,,,Comparable low-novelty run not yet established,Ranking personalization indexing and inaccessible pages remain channel biases
channel-github,channel,GitHub repository search,active,Public repository names descriptions topics and READMEs,,,Thirty-one broad batches still produce high first-seen yield and no three qualifying comparable runs,Private repositories and unindexed code remain invisible
channel-npm,channel,npm package registry,active,Public npm package metadata and distributions,,,Only one broad baseline batch exists,Packages without useful metadata and other ecosystems require separate treatment
channel-product-hunt,channel,Product Hunt launch directory,active,Indexed Product Hunt product pages used only for discovery,,,Only one high-novelty baseline batch exists,Directory ranking and removed launches constrain recall
channel-figma-forum,channel,Figma Forum discovery surface,paused,English creator release posts and linked category-index cards,SAT-EN-FIGMA-005|SAT-EN-FIGMA-006|SAT-EN-FIGMA-007,2026-08-12,Three consecutive comparable batches meet the quantitative pause rule,Figma Community itself remained robots-blocked and this pause applies only to the forum search surface
lang-en,language,English web,active,English-language global discovery queries,,,Broad English UI and domain batches still exceed the novelty threshold,English ranking overrepresents globally marketed products
lang-zh-hans,language,Simplified Chinese web,active,Simplified Chinese product and repository discovery queries,,,Existing batches have not produced three consecutive qualifying results,Localized global products and mainland indexing gaps complicate interpretation
lang-ja,language,Japanese web,active,Japanese-language product and repository discovery queries,,,A site-restricted zero-result batch is an access failure not saturation,Japanese product pages may use English names and global domains
lang-ko,language,Korean web,active,Korean-language product and repository discovery queries,,,A site-restricted zero-result batch is an access failure not saturation,Korean product pages may use English names and global domains
lang-es,language,Spanish web,active,Spanish-language product and project discovery queries,,,Only one high-novelty baseline batch exists,Localized global products cannot establish Latin American or Spanish team origin
lang-pt-br,language,Brazilian Portuguese web,active,Brazilian Portuguese product and project discovery queries,,,Only one high-novelty baseline batch exists,Localized global products cannot establish Brazilian team origin
lang-fr,language,French web,active,French-language product and project discovery queries,,,French was previously combined with German and lacks an independent run,Localized pages cannot establish French team origin
lang-de,language,German web,active,German-language product and project discovery queries,,,German was previously combined with French and lacks an independent run,Localized pages cannot establish German team origin
lang-ru,language,Russian web,active,Russian-language product and project discovery queries,,,Russian was previously combined with Arabic and lacks an independent run,Language market and maintainer location are separate facts
lang-ar,language,Arabic web,active,Arabic-language product and project discovery queries,,,Existing Arabic-oriented batches remain high novelty,Country-domain and Arabic-language indexing are uneven
region-north-america,region,North America-oriented web,active,Queries oriented to United States and Canada product teams without inferring location,,,No three-batch comparable run exists,Global English marketing heavily overlaps this surface
region-latin-america-caribbean,region,Latin America and Caribbean-oriented web,active,Country and ecosystem oriented discovery across Latin America and the Caribbean,,,No three-batch comparable run exists,Spanish and Portuguese results mix local and global products
region-europe-central-asia,region,Europe and Central Asia-oriented web,active,Country and ecosystem oriented discovery across Europe and Central Asia,,,No three-batch comparable run exists,English-language company pages weaken geographic specificity
region-middle-east-north-africa,region,Middle East and North Africa-oriented web,active,Arabic English and country-oriented MENA discovery,,,Existing Arabic-oriented batches remain high novelty,Search access and multilingual naming vary sharply by country
region-sub-saharan-africa,region,Sub-Saharan Africa-oriented web,active,Country and ecosystem oriented discovery across Sub-Saharan Africa,,,No comparable baseline run exists,Low indexed yield cannot be interpreted as low product activity
region-south-asia,region,South Asia-oriented web,active,Country and ecosystem oriented discovery across South Asia,,,No comparable baseline run exists,English product naming can obscure regional discovery paths
region-east-asia-pacific,region,East Asia and Pacific-oriented web,active,Chinese Japanese Korean and Southeast Asian discovery surfaces,,,Current language batches are uneven and site-restricted searches failed,Language and country-domain coverage cannot establish team geography
domain-ui-web-app,product-domain,UI prototyping app and site design,active,Screen flow prototype app and site artifact loops,,,SAT-DOM-UI-024 through SAT-DOM-UI-026 returned 38 percent 19 percent and 40 percent first-seen yield so the latest comparable run remains nonqualifying,The field overlaps generic coding and app-builder search noise
domain-design-systems-bridges,product-domain,Design systems and design-code bridges,active,Tokens components handoff code grounding and agent bridges,,,Figma-specific subchannel is paused but broader repositories and products are not,Deterministic tooling creates many false positives
domain-creative-presentation-video,product-domain,Creative brand presentation and video,active,Brand graphics slide deck motion and video artifact loops,,,The baseline expansion batch had very high novelty,Generic media generators without editable Design loops must be screened out
domain-engineering-physical,product-domain,Engineering physical architecture fashion and game,active,CAD BIM industrial architecture fashion footwear and scene artifact loops,,,The baseline expansion batch had very high novelty,Research prototypes and generic 3D generation require identity checks
domain-canvas-infrastructure-verification,product-domain,Canvas infrastructure and visual verification,active,Editor kernels artifact formats overlays comparison testing and candidate promotion,,,No three-batch comparable run exists,Generic GUI agents and developer libraries dominate search results
