slug,layer,total,ai_in_loop,authority,mutation_by_ai,articulation,score_type,rationale
adalo-ai,H1,8.6,9,9,8,8,,"Ada (Adalo's own AI) generates multi-screen apps with relational data and navigation from a description, and Magic Add extends the existing native app graph from a feature request while Visual Direction makes targeted element-scoped changes, so the model loop takes real design decisions over a durable provider-managed project; evidence is product-contract only, no implementation or serialization public."
adly,H1,7.3,8,8,6,7,,"The Adly agent grounds campaigns in a reusable brand profile and generates static/video ad variants, copy and editable landing pages with review/approval and scheduled publish; refinement of generated assets is documented but deep iteration on persistent structured work is thin, and campaign/version schemas are not public."
adobe-firefly-creative-agent,H1,8.3,9,8,7,9,,"Adobe's creative agent plans and executes multi-step work across Firefly and Creative Cloud hosts, so its own model loop decides creative direction; host-native documents/projects remain durable and editable, but mutation protocols are beta-stage/closed and humans retain correction authority."
affine,H1,8.0,8,8,7,9,,"Edgeless Copilot stages AI results as explicit insert/discard/retry mutations into the persistent BlockSuite store (slides, mind maps, images, make-it-real prototypes); model-driven decisions shape content but commits are human-gated, and the BlockSuite workspace/document history is a durable structured artifact (source-level evidence)."
agent-native-design,H1,9.0,9,9,9,9,,"Source-level agent application whose Design agent turns briefs/Figma/brand context into standalone Alpine/Tailwind prototypes with create/duplicate/edit/delete, branches, visual/source/token edits, quality fixes and coding-handoff export; preview, editable source and exports read the same files, so the record's own AI mutates durable artifacts directly."
ai-ui-designer,H1,5.1,7,7,1,5,,"Prompt-bound generation records with static preview plus HTML and React TSX exports constitute the strongest evidence; the loop is one-shot brief-to-code with no evidence the AI can edit existing work or round-trip source, and the hosted record plus exported files are durable but not a structured editable native layer."
ai-workflow-builder-rmounith,H1,2.9,3,2,1,6,,"Source-level learning project where the graph is built by the human and models (Gemini) only execute inside LLM nodes during runs; no evidence the AI creates or edits the workflow design itself, though saved node/edge graphs are durably reloaded by the Supabase-backed runner (persistent human-owned artifact)."
ai-workflow-builder-robertsbob,H1,6.2,6,6,6,7,,"Source-level Qt workflow builder where the service can ask a model to generate schema-conforming workflow JSON from natural language, repair IDs and load it into the editor (delegated graph creation), plus LLM nodes at runtime; checkpoints/autosave/JSON give durable artifacts, but the designer's core loop remains mostly manual graph authoring."
aidesigner,H1,7.5,8,8,6,8,,"Design agent generates UI/brand systems from prompts and references while saved brand context persists across outputs in an editable project; targeted section/image refinement and MCP access are documented, but native schema, version graph and exact edit semantics are closed, so AI-driven mutation of the persistent work is only moderately evidenced."
aipto,H1,6.8,7,7,6,7,,"The agent arranges nodes and selects among try-on/composition/video tools on a node canvas with identity locks and reusable technique templates producing a coordinated asset family; node serialization and model routing are undisclosed, and manual operations share the graph with agent work, so mutation/durability are product-level claims."
alloy,H1,8.8,9,9,8,9,,"Hosted agent generates complete hosted prototypes from captured pages and, in codebase sessions, mutates real GitHub repositories delivered as PRs; visual editing targets rendered elements and prototypes carry files/chat/history. Capture-to-source identity and transactional details are closed and the hosted prototype's own history is destructive, so mutation is strong but not fully lossless."
anthropic-claude-design,H1,8.8,9,9,8,9,,"Claude creates the working design on a canvas from brief plus extracted/published team design systems and revises it through chat, inline comments, direct edits and Claude-created sliders; hosted projects, design systems and exports (HTML/PPTX/PDF/Canva/Claude Code) are durable, but internal graph, revision and roundtrip semantics are closed, capping mutation/authority below full autonomy."
anthropic-course-uigen,H1,8.6,9,8,9,8,,"Source-level runnable course sample whose streamed model loop uses structured file-manager and string-replacement tools to mutate a persisted virtual filesystem (Prisma) that editor and preview both project; tools can edit existing files so AI mutation is direct, though this is a course exercise with a mirror repository, not a commercial product."
anything,H1,9.0,9,9,9,9,,"Agent reasoning turns briefs/screenshots/Figma context into generated full-stack application source with version history, Max runtime test-and-repair in a real browser, parallel threads and explicit publish; durable hosted project groups plus SQL database lanes and ZIP exports make the AI-driven loop the core authority across design, code and runtime."
appy-pie-ui,H1,6.8,7,7,6,7,,"Description-to-directions generation with conversational changes and a drag-drop editor continuing the chosen result inside a managed no-code project with tokens/wireframes/prototypes; AI-driven revision of existing layouts is present but shallow, and layout graph/token schema are not public."
atoms,H1,9.0,9,9,9,9,,"Coordinated multi-agent teams (Mike + specialists) plan, build and deploy full applications from a brief; Race Mode runs parallel candidates, Visual Editor and agents mutate generated source with versioning, Remix, Git push and Theme; hosted ledgers are multiple but each is durable, and the open MetaGPT lineage corroborates the orchestration shape."
autocraft,H1,7.0,7,7,7,7,,"Multi-page canvas where design chat restructures/restyles and a scoped code agent with user-supplied OpenAI key edits pages that remain first-class canvas objects with exportable code; mutation of existing pages is documented, but the backend being beta and the exact patch/regen split unpublished keep it in the AI-enhanced/AI-first boundary."
