candidate_id,display_name,status,resolution_target,first_seen_batch,discovery_url,evidence_kind,team_region,region_evidence_url,reviewed_on,decision_reason
seed-anthropic-claude-design,Claude Design,included,census:anthropic-claude-design,LEGACY-000,projects/anthropic-claude-design/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-openai-codex,Codex,included,census:openai-codex,LEGACY-000,projects/openai-codex/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-cursor,Cursor,included,census:cursor,LEGACY-000,projects/cursor/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-trae-work,TRAE Work,included,census:trae-work,LEGACY-000,projects/trae-work/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-qoderwork-design,QoderWork Design,included,census:qoderwork-design,LEGACY-000,projects/qoderwork-design/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-replit-design,Replit Design,included,census:replit-design,LEGACY-000,projects/replit-design/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-tencent-codebuddy,CodeBuddy,included,census:tencent-codebuddy,LEGACY-000,projects/tencent-codebuddy/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-baidu-comate,Comate,included,census:baidu-comate,LEGACY-000,projects/baidu-comate/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-devin,Devin,included,census:devin,LEGACY-000,projects/devin/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-vercel-v0,v0,included,census:vercel-v0,LEGACY-000,projects/vercel-v0/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-lovable,Lovable,included,census:lovable,LEGACY-000,projects/lovable/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-windsurf,Windsurf,included,census:windsurf,LEGACY-000,projects/windsurf/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-github-spark,GitHub Spark,included,census:github-spark,LEGACY-000,projects/github-spark/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-anything,Anything,included,census:anything,LEGACY-000,projects/anything/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-builderio-fusion,Fusion,included,census:builderio-fusion,LEGACY-000,projects/builderio-fusion/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-google-stitch,Stitch,included,census:google-stitch,LEGACY-000,projects/google-stitch/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-google-antigravity,Google Antigravity,included,census:google-antigravity,LEGACY-000,projects/google-antigravity/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-base44,Base44,included,census:base44,LEGACY-000,projects/base44/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-bolt-new,Bolt.new,included,census:bolt-new,LEGACY-000,projects/bolt-new/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-atoms,Atoms,included,census:atoms,LEGACY-000,projects/atoms/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-subframe,Subframe,included,census:subframe,LEGACY-000,projects/subframe/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-flutterflow,FlutterFlow,included,census:flutterflow,LEGACY-000,projects/flutterflow/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-figma-make,Figma Make,included,census:figma-make,LEGACY-000,projects/figma-make/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-alloy,Alloy,included,census:alloy,LEGACY-000,projects/alloy/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-magic-patterns,Magic Patterns,included,census:magic-patterns,LEGACY-000,projects/magic-patterns/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-anima,Anima,included,census:anima,LEGACY-000,projects/anima/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-kombai,Kombai,included,census:kombai,LEGACY-000,projects/kombai/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-baidu-miaoda,Miaoda,included,census:baidu-miaoda,LEGACY-000,projects/baidu-miaoda/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
seed-onlook,Onlook,included,census:onlook,LEGACY-000,projects/onlook/README.md,legacy-dossier,unknown,,2026-08-11,Legacy seed imported with dossier support; original discovery route is not recorded
